Review,Label
 the property is badly run down and needing attention badly marked walls and doors dirty appliances and i wouldn t take my socks off on that carpet the lifts stopped working the hot water was unreliable on the first night very surprised at the state of the hotel given the price ,0
 small clean hotel great location very convenient staff friendly and helpful ,1
 bed too short tiny room tiny closet tiny bathroom etc stars given in booking com are absolutely wrong i would not give more than 2 stars for what you get there the price is impertinent ,0
 very luxury,1
 the breakfast was super delicious the layout of the room was spot on ,1
 the location the friendly staff in all departments made us feel at home as soon as we arrived multi national staff great team especially the irishman called bernad ,1
 phone call several hours before while we were still in france saying they would like to change our room to another place on the other side of london we said this was not possible a different room was found for us reputedly better but surely the original room couldn t have been smaller consistent refusal to find storage space for bikes in spite of requesting this on the booking com form eventually after much debate space was found in the luggage room too expensive for what was offered ,0
 the position of the hotel is excellent both for walkers and for the use of public transport staff are friendly and very helpful and the rooms are very clean and comfortable ,1
 bar area and staff are good the hotel needs a proper restaurant ,1
 staff very rude the smallest room i have ever stay i my life ,0
 brilliant location for palais de luxembourg sorbonne etc friendly and helpful new bathroom facilities and bed great ,1
 condition of room never should have let it out as the carpet was saturated with old water and the noise level was terrible,0
 absolutely loved the lounge area it has a lot of history to it,1
 super spot goinf back in april with the familt,1
 comfortable bed and room spotless nice to have complimentary biscuits ,1
 pretty lobby lounge area kettle with tea coffee and hot chocolate clean bathroom ,1
 pefect location,1
 the hotel service was great they are very helpful they had some maintaining problems when we arrived but a replacement and complements were very properly provided and we were pleased for the extra service during the our staying the room was however unexpectedly small but the good service quality may fulfil for any inconvenience ,1
 very clean and tidy,1
 location staff and room was good sized,1
 i cannot fault anything we thoroughly enjoyed our stay right from being greeted at the door to checking out nothing was too much trouble for the staff and what a fantastic location the hotel is in everyone should treat themselves to a little luxury and stay at this hotel,1
 big rooms nice location ,1
 bad room very old furniture,0
 the hotel was beautiful exactly like the pictures excellent staff and fast private cab pick up would recommend,1
 have booked the hotel for 3 pax a few months before checking in and put in a request for air conditioning summer and ground floor room else need an elevetor we had 6 luggages instead we were given a room in basement two with 2 miserable fans because we were late in our check in not acceptable as the booking was made much earlier and request was also put in then the room should have been reserved if not ground floor maybe in basement one the staff should have tried to accommodate our request and not give the reason as the hotel was full and we were late in checking in worse still we stayed here for 2 nights and on the second night they removed a fan from our room we insisted that they replaced the missing fan as the room was very stuffy with no windows overall stay was not good ,0
 bed was good but pillow could be better ,1
 nice location to kings cross station and clean room ,1
 great service from the moment we arrived we upgraded to a junior suite well worth the little extra for a great room very clean and well appointed excellent staff from the house keeping reception bar porters and concierge we could not fault them and will defiantly return,1
 amazing staff made our stay great for our anniversary,1
 great hotel staff and location ,1
 the room was way too small no elevator no wardrobe and last day the room hasn t been cleaned at all definetly not worth the money ,0
 when we arrived they had given our room to someone else they said they had informed booking com to tell us but we never received this info ,0
 we ordered a queen room it was tiny and the bed was so small and up against a wall so i had to climb over my partner to get into bed ,0
 breakfast was great good location and friendly staff ,1
 the staff where amazing,1
 we were upgraded to a very nice suite the concierge was very helpful ,1
 hotel was falling apart furniture broken cupboard coming off in your hands lobby furniture was broken and had holes in the sofa a nightmare and most certainly not 4 stars ,0
 great location great staff we had a wonderful stay and will definitely return in the future ,1
 the rooms are very small the hotel bar shuts at 11 30 so if your planning a nightcap drink forget it ,0
 horrible hotel hotel was so dirty the wall was stained with anything you can imagine and the cleaning service was horrible they dont really clean up the room just leave more towels there s no airconditioning the hall way was more cooler than the room we had to leave the door opened and what ever concierge says about condition of tourist spot was not true do not stay here ,0
 staff very rude rooms very dated and old room temperature far too hot not able to switch on the air bathrooms very dated and not very clean was locked during 30 minutes in the room as the door handle broke will not return to this hotel,0
 bedroom was like a walk in wardrobe staff had very limited english wasn t asked if i slept well on either nights room had a loud running water noise all night premier inn hotels are x20s better,0
 it is really a five star hotel rooms are small there is no tv i stayed in executive room which comes along with a executive lounge the smallest lounge i have seen in my life cramped with people and there was no room to sit went three times there and finally gave up horrible food no parking space staff was rude to assist simply told find a space somewhere putside the hotel on a street the so called queen size bed is smallest i have seen in a 5 star hotel very basic facilities room looked like a hostel room breakfast was served in a way that it gave me a feeling that i was being served in a flight smallest glasses and plates possible avoid this hotel at all cost only word staff knew was what please or excuse me were not in their dictionary ,0
 mosquito inside the shower gel unoppened bottle breakfast of poor quality there are much better options to eat around the area,0
 the lack of wifi in our room also please be aware your bathroom floors are very slippery with socks on ,0
 great location the rooms and bathrooms are very well laid out with plenty of storage elemis products shampoo conditioner bath gel and lotion lovely coffee and tea service includes milk chocolate and different types of sugar plenty of outlets clever desk vanity set up is a perfect area to dry hair makeup the bench at the end of the bed is also very handy ,1
 great nearby restaurants very popular so make sure to book at least fri sat super cosy area ,1
 agtha in the breakfast room was extremely nice friendly always had a smile on her face so helpful she impressed us the most ,1
 the staff was so helpful and they allowed us to early check in ,1
 booked a twin room was told there was none available i would not except a double so eventually they found me a twin stained sheets on one bed water in shower not very hot tv did not work room unbearably hot had to wait approximately 45 minutes to 1 hour for my breakfast order key to room did not work on the second day used tea and coffee cups left in room and were not replaced ,0
 great location to eventim apollo easy check in and out clean and comfortable room and a fabulous breakfast in the morning couldn t ask for more ,1
 historic style of the hotel proximity to important sights,1
 staff were delightful the ability to alter the temperature of the room with ease was great and the rooms were comfortable the room was clean the shower worked well and was easy to use great location and great value for money amazing price ,1
 on arrival we were able to leave our bag and told our room would be available from 2pm great we thought that all fits with our plans however this relaxed feeling was short lived when we returned to check in later that day we were met with a long queue that took 40 minutes to process before we made it to the front only to be told the hotel was fully booked how we wondered could this be we d booked 2 3 months prior to our check in date and received confirmation our reservation had been confirmed we were informed that our booking would be honoured at a neighbouring hotel and a free taxi transfer would be arranged for us within 5 minutes 30 minutes later our taxi had not arrived and we noticed ours wasn t the only one that hadn t turned up so far we had been well over an hour a further 20 minutes later a taxi finally arrived and we were taken to a hotel only a few minutes away needless to say the other hotel dealt with us promptly on arrival but all the drama at check could if been avoided if only we had been told upfront ,0
 the staff was unfriendly my room was dusty the hotel seems run down and the room service selection was terrible at night there is not even any food available never returning to this hotel ,0
 we had a great studio which worked well with the kids sleeping on a king size sofa bed,1
 the room had great views and the staff were very friendly and helpful nothing was too much trouble for them great location right next to the o2 arena and walking distance from the tube station the spa area and gym are really well equipped and very clean probably one of the best we have used anywhere ,1
 beautiful room excellent location hotel manager james was brilliant sorting out an issue ,1
 beautiful room everything was really clean and impeccably presentes loved it ,1
 great location very friendly staff ,1
 perfect location for the eventim appollo lyric theatre also hammersmith tube bus station the buffet breakfast was fabulous ,1
 security and managment staff,0
 prior to arriving i emailed the hotel twice to confirm that i had booked a twin room which they replied yes however after checking into the place we found that this was not the case and the room was so small you could not actually move the beds apart or walk around the room the staff subsequently could not relocate my friend and i to another room due to the hotel being full the shower was dimly lit and with close inspection you could see mold that could easily be removed if cleaned properly under the bed looked as if it had not been cleared for the past 5 years they could also do with spending of money on new pillows thought the copies and money notes glued to the ceiling was really tacky along with the red light in shower my colleague commented that it looked more like a room you d book by the hour than the night we both felt completely flogged off and would have changed hotels if i could have found another local hotel with a vacant room have no idea how this place got its 4 stars ,0
 the location cannot be beat and the staff was superb they were all very knowledgeable and accommodating and spoke very good english ,1
 rooms were tiny but very nice lovely staff,1
 i work for a 5 star hotel in nyc the staff went above and beyond the front desk staff and bell men are amazing i really felt like i was at home very safe you all gave me 5 star service you are the best ,1
 main entrance was closed waited 30 mins check in hotel run down decor very poor paint peeling off rust on ice machines limescale on taps plug broken the list goes on,0
 facilities where good and excellent staff and food,1
 i booked the hotel as a double room for my partner and i on what was supposed to be our engagement weekend when we arrived we were put in a twin room with two small single beds pushed together there was no attempt to tell us that we weren t in a double room when i went to the reception to inform them that we had been put in a twin room by mistake i was told by the lady at reception that they did not have any double rooms as apparently the toilet was broken in the double room which i was sceptical about when i asked politely if there was anything that could be done she rudely replied that s not my problem and then turned away from me i couldn t believe how rude she was i was stunned another couple overheard as they went past and told me that they had the exact same experience my suspicions that the hotel lied about the broken toilet were confirmed when i e mailed them and they replied with a different excuse that they had overbooked they added that they would compensate me with a free breakfast this is basically a scam where a hotel makes you pay for a double room knowing that they do not have one they have squeezed two uncomfortable single beds together in the hope that they will get away with it they do not care remotely about your comfort so please do not anticipate that they will do anything to make your stay more comfortable i honestly am not a demanding customer in most cicumstances and rarely make any form of complaint but feel it necessary to warn people that even though i can accept that this hotel s rooms are small not well ventilated and a little uncomfortable but they do not provide rooms to the specificity they claim and are incredibly rude with little to no customer service there are vastly better options all around paris do not trust this hotel as more reviews become available at this relatively new hotel you will discover that this is far from a legitimate and respectable four star hotel ,0
 i didn t like that neither booking nor the hotel let me know in advence that the air conditioning of the whole building wasn t working so when i got there with 33 degrees i found out in my room that there was a portable fan opening the window was out of the question as all the kitchen and smoking smells from below would get in the room i didn t sleep well not even one of the three nights i was there it wasn t possible to ask for a refund and move to a different hotel the spa does didn t have a good service and the receptionist was totally unkind ,0
 the reception staff noticed it was my birthday and when i arrived back in my room there was a piece of cake with happy birthday written on the plate i thought that was fantastic ,1
 i would rate this hotel in poorest catogory reason being the hotel staff specially the indian restaurant they have restaurant staff ill mannered dont no how to deal with customers they kept me waiting for more then a hour for my food they were busy in serving other english people after one hour we left from restaurant mention to the manager next they charge 50 pounds to serve in room what the hell man yo are running a hotel and you running these types of policy and ill mannered staff out of 10 i will give zero 0 ,0
 a bad start with an arrogant unwelcoming receptionist the lift was not working with 5 floors to climb and i did not feel well the room was over heated and air conditioning not working unfortunately you can t open the windows as the hotel is on a high traffic avenue reception had no idea how to control the temperature nor did they make any effort to help except for shouting at us one of our worse hotel experience ever ,0
 shabby reception area mediocre staff awful brown decor horrible mugs in room baking hot in the night couldn t get the air con to work nor open a window horrid tea bags in room cheap soap and shampoo products this is not what you expect in mayfair even on a deal all very dated and tired,0
 this hotel took a sum of 81 60 from my bank account the night before i was due to stay with them i phoned the morning of my flight to query same and was told there was a hold put on this amount and once i paid on check in this money would be released i was then advised that there were maintenance issues with our room and so we would have to move to the london premier kensington hotel upon checking in i went to pay the bill in total with a different card only to be told i couldn t a manager eventually came to our assistance and took the total amount from the second card and told me they would ring the bank to release the hold on the 81 on the original account it is four days later and i am yet to receive this money back into my account despite having paid the bill in full on the second card the girl on the front desk called us a complimentary taxi and asked him to bring us to the park hotel which he duly did we were checked in there by a staff member and sent to a room in a different building across the road from the hotel this building did not have any access to wifi which was one of the reasons that we booked the notting hill hotel this was very inconvenient for my travel partner and i the water in the shower was cold and when i went to bring this to the attention of a staff member at the park hotel i was told we had been checked into the wrong hotel but why was this not communicated to me when i was being checked in there this whole hotel group appears to be in chaos and i would most certainly not recommend any of the hotels which i had dealings with nor would i stay here again have a look at the terrible ratings on tripadvisor and you will see that i am not the first one to have had this experience ,0
 pathetic housekeeping had to complain several times to get the room cleaned properly no telephone or ac in the rooms had to go up and down 2 floors no lift to talk to the reception if we needed anything the table fan provided was not enough and room was uncomfortable and too warm at night they are not equipped for summer ,0
 everything about the hotel and location and friendly staff ,1
 our bathroom was not clean at all the sink still had vomit stains form the previous client also the sit of the toilet was dirty they could not give us a new room and as there was only one person of the staff he couldn t clean it for us just disgusting i would never come back ,0
 clean smart room with a comfortable mattress friendly staff and an excellent location ,1
 the size of the rooms and beautiful ,1
 this is a very beautiful hotel i loved it so much that i had to extend my stay the restaurants are beautiful and well set up ,1
 rooms extremely obsolete and unpleasant,0
 staff were very helpful,1
 the views were amazing especially at the sky bar on the 18th floor at night the christmas decorations were beautiful staff couldn t be more helpful friendly we also tried the water taxi bus back into the city it was wonderful,1
 bright new modern ,1
 shocking cold dirty stains on curtains third room change as hairs found in beds noisy plumbing and humming in room avoid at all costs ,0
 very comfortable bed nice and helpful staff great location ,1
 i arrived very late and extremely exhausted after a very long drive and writing this review a couple of days later so it s not reflecting my tiredness that evening i was shown my room and really hope that room was the worst in the place double bed filling the entire room a kind of platform taking up space a blackened out window to a kind of yard from where there was a constant humming noise from some machinery as well as a bad draft and smell extremely poor sound insulation thin walls could hear exactly what was going on in the adjacent rooms plus when the toilet s were being flushed you couldn t access the bathroom without sliding around the bathroom door and then closing it after entering tiny i weigh 60 kg so not due to my size i was charged 30 extra for my cat which was admittedly on their terms and conditions which staff showed me when i complained about it not the amount however but not on the booking com website no breakfast is served teabags and kettle in the room over priced and grossly over rated the photos look lovely on the site and perhaps i was just given a bad room no idea was just a very bad experience and an expensive one at that cost me around 135 which i deeply regret spending didn t want wild luxury just a decent size room and no noise or draft,0
 the shower and tv remote were not functioning after giving a complaint too nothing was done they had booked a table at one of the hotel restaurant but the restaurant staff said that they are not part of the hotel and the restaurant had closed even before the booking was made only last two days chocolates were kept in the room everyday the room would have something less bad experience for the money paid ,0
 inconsiderate staff paper thin walls noisy neighbors night staff ignored small or non existent lobby very small rooms,0
 it s a beautiful hotel an architectural pearl such a pleasure to stay in a hotel with so much history connected to it it was a lovely stay ,1
 graham the bellboy was brilliant very helpful and he also took us around to show us where everything was,1
 comfort edwardian atmosphere the staff,1
 clean central east to find lost of cafe around near attractions in paris,1
 why my superior double suite should be in the cellar for 150 pounds ,0
 dirty bathroom dirty carpets broken beds non rectification of issues until we escalated 8 times dirty restaurant all seating stained showers on one side of building suitable only for people 4 ft tall or less far from hilton standards ,0
 beautiful grand hotel comfortable clean room polite and helpful staff excellent location in the heart of london great base for exploring,1
 the reception are not polite and some of them don t know what to do when they meet up with any kind of problems definitely i ll never ever stay there again even still water is not available in this hotel when you ask reception that can i have a bottle of water you will got right away this answer we have got glass in the room and you can drink tab water believe me never try tab water tasty like stream water honestly it was terrible staying even if you want to leave one day early they will never refund your money back you have to pay exactly how many days you think at beginning ,0
 the photos of the room and the hotel look much nicer than the reality my room was down in the basement so tiny i could not even open my suitcase the furnitures and the walls looked very old ,0
 location good for kids plenty restaurants nearby,1
 late night major electrical fault in several rooms on my floor causing blue flames loud crackling noise at the wall socket in use and wrecking my device charger night staff were helpful in changing my room but i didn t feel safe and got very little sleep refund for the cost of a replacement charger the following morning was grudging ,0
 architecturally the building is terrific you can feel the history of the place which just isn t there with purpose built chain hotels the arena has the look and feel of a boutique hotel lushly decorated wrought iron work on staircases chandeliers the up lighting and high windows and ceilings gives a great sense of space location is fab in the green space of oosterpark but only a ten min walk to the city halls the rooms are quirky with a small footprint the ground level has a closet small sofa wc and shower fridge table and chair with the huge bed on a mezzanine level there s a tv on each level ,1
 wifi was lousy attitude of staff was at times unpleasant breakfast was unappetising and tasteless ,0
 great location lovely building,1
 woken at 1am with mouse running under the bed ,0
 a lot not suitable for business travel,0
 breakfast was excellent the staff were very helpful the location is convenient for access to central london and the rooms are well presented they are willing to store luggage both before check in and for the rest of the day after check out which was a boon ,1
 the location and apparent of the hotel were excellent the staff were very friendly there was a small problem with the shower in the room which was seen to with no hesitation or worry ,1
 clean and quiet room ,1
 the room was spotless was in a very quiet location even though off of fleet street only 15 mins walk to covent garden theatres very luxurious room with huge king bed enormous pillows beautiful ,1
 parking cost 21 when i was told it was free and my room had no window this wasn t made aware to me when i booked it ,0
 it was so central good food shops and close to attractions,1
 staff were outstanding in all areas especially simone on reception who ensued my mum was well looked after rooms bathroom immaculate and spacious beds exceptionally comfortable would return even if not attending the o2 it was that good thank you,1
 way too expensive,0
 this place is awful the carpet was about 30 years old with stains everywhere the walls were paper thin to hear my neighbors having sex the hotel was unable to produce a receipt and said the had to email it but i have yet to receive ,0
 overall this is a nice hotel with some plusses a beautifual old style entrance hall and bar and equivalent large rooms for breakfast the staff is efficient and very courteous the breakfast buffet is quite reach ,1
 staff very friendly and good location ,1
 comfort,1
 location breakfast served were excellent also have to mention the supper we ordered was good ,1
 basement room no natural light my wife had to exit the building to check the mornings weather each day noisy due to staff in and out of adjoining door all night bathroom was functional but very small unable to sit properly on the toilet as it was almost up to the wall the shower was in the bath and you need a step ladder to get in and out the wardrobe rail was about 6 3 high i am 5 5 and my wife is smaller there are steps down into the room when you get through the door the safety deposit box repair man fell down them the staff don t appear to talk to each other as messages about us wanting to change room weren t relayed to the morning staff the receptionist did offer another room if we left out bags in the reception area the next morning before 12noon where she would watch them for us but on questioning this she stated that she would not be responsible for them and we did not want to waste the small amount of time we had in london trying to change room last time we stayed here it was reasonable but not this time the room was very hot despite having air conditioning it only worked on low fan speed and no matter what setting were made it didn t cool very much the corridor to the basement is enclosed by glass and smells awful when we were checking out the receptionist asked what complimentary offers where we given answer none were offered breakfast was not included and what we paid for the first morning was laughable the coffee was strong and almost cold the selection on offer was very poor we ate elsewhere the next morning ,0
 the welcome of reuben and his manager when i checked in,1
 i requested a higher floor room but assigned a 1st floor room in the room the door s inside key was broken so could not lock the bed was terribly hard and i had a backache next day ,0
 awful bar service and food confusion over who was booking in ,0
 having stayed at the hotel many times i like the attentiveness of the staff cleanliness of the rooms central location breakfast choice and valu for money,1
 very non friendly reception team careless rude we had to pay for the intent in the room because our reservation through booking we had to beg the receptions and duty manager to have late check out at 02 00 pm while the occupancy was low i could not use the hhonors points again because the reservation was through ebooking like we did a crime we had to beg them to have one single bed instead of twin we asked for good view and we had room 627 which has a long wall just in front of the window they transferred us to room 108 to solve the problem and as an apology from the desk manager and the view was the very close roof of the hotel i will never stay in hilton again and will discontinue my hhonors membership ,0
 everything was bad wifi wasnt working charging port wasn t near bed reception was trying to tell me to upgrade my room food was pathetic and the attitude if staff was also bad and disrespectful for room service it was additional 5 pounds probably the worst hotel i have ever stayed in not recommend at all,0
 the location was excellent and a very comfortable bed ,1
 at arrival the receptionnist told us that they had no more double rooms only twins and that we only managed to book a double because of booking com not being updated 2mins later 2 other couples arrived to checking and also had the same the fan kept running all night and did not let us sleep we complained and were told that they would stop it but they did not internet is paid and staff is horribly unpleasant,0
 ambiance and breakfast,1
 staff were very kind and helpful,1
 very expensive for what you get ,0
 lovely dining room and good breakfast lots of attentive staff ,1
 price facilities cleanliness awful,0
 this hotel is pure paris traditional and welcoming it is located a short walk to two different paris m tropolitain stations that can whisk you away to any part of paris and the location of this hotel is near shopping and many bars restaurants without any transportation needed ,1
 lovely new hotel very friendly welcome cleanliness was superb bed was so comfortable with very high quality bed linen had a wonderful sleep close to 02 underground station ,1
 the stay was a complete dissapointment for me and my colleauges at check in nobody was given a room before 3pm the were not ready at 3pm all rooms at a time became ready no information on hotel amenities from the reception staff they were just interested in credit card overpriced restaurant with scarce menu no a la carte for breakfast on weekend just standard buffet not a 5 star no sparkling wine or champagne had to ask for my coffee for 4 times and wait it for 20 minutes late check out promised by booking com was not granted besides the reception told to come later and later to check that is not normal room keys discontinued to work a couple of times i could not fond any difference between a standard and a superior room description and pics are all the same the hotel is not worth its money and a 5 star rating,0
 the room was spacey and comfortable it was amazing ,1
 the bed was incredible ,1
 we were given a free upgrade to one of the best rooms because of valentine s day ,1
 in all everything was just perfect,1
 the receptionists were not polite their english wasn t even that good to begin with the room was very tiny you could barely pass by the bed if i was a bit fatter i wouldn t be able to pass the bed sheets were not changed since day one there were stains the toilet was so tiny and the shower was horrible there is no way to shower without drowning the entire toilet the location wasn t that great and it took us a while to get in and out of the area ,0
 great breakfast in the morning,1
 the staff was excellent the room was way ro small,1
 furniture is in a bad condition and old air conditioning was not working for the last two days water leaking at room 306 from the room above it tv was out of use as all channels were not clear housekeeping staff don t speak english breakfast can t be included with the the rate corridors are narrow 2 people can t pass through at the same time lift is too small to occupy one person with one piece of luggage of normal size,0
 very efficient staff in all areas,1
 the service was exselent breakfast exselant staff exselant roomservice exselant overall to be honest far better then the hilton iv satayed at before and it was fantastic value for money and the location exselant i am defenitly recomending the hotel to my friends and colligues and fammily thank you for a weekend of perfection couldnt have asked more many thanks to all the fantastic staff who were exselant ioannis batsos,1
 it was clean and beds were comfortable ,1
 room was very well appointed and comfortable ,1
 very quiet area nice to have a room with access to the garden i like the fact that it is a small hotel plus i like the fact that it was a shower cubicle rather than over the bath shower ,1
 location n value for money ,1
 this is my favorite hotel in the world and it still is i wrote the manager a good letter especially about his great staff but for some reason it could not be delivered please tell him because i name names and want them rewarded ,1
 friendly staff willing to help modern rooms and very comfortable close to some old historic pubs frequented by locals rather than tourists ,1
 every thing,0
 the customer service is extremly poor room is not what i expected regarding the cleanliness room service did not answer around 9 times very slow response it was very unpleasent stay to be honest once in a lifetime experince ,0
 so i shared my room with my friend on check out date she left early n forgot her bag i had to leave before 12 so i left the bag in the room so my friend could pick it before 12 she couldn t make it n i felt her bag was safe no it wasn t security promise to call me on 4 occasions n never did am so disappointed is such a shame,0
 rooms really big comfortable and great ambience ,1
 comfy and clean hotel,1
 noisy room doors slamming no table in room for breakfast,0
 staff very friendly efficient and helpful,1
 very cold room very slow staff no mini bar poor restaurant for such location the entire room shakes when the train passes by i will never return there again ,0
 brilliant location right in the centre of london staff are very nice and helpful will stay again ,1
 they was on works noise not organised plastic cups mac donold are much better no room service no service at all no water during night nightmare ,0
 the room is very small and hot very poor,0
 cosy what s the meaning for u ,0
 the staff were very helpful reception porters and especially the breakfast staff head waitress the manager was also very helpful and has since followed up with me to check i was happy during my stay not many places would do this the location of the hotel is great easily accessible close to main attractions beautiful decor in the lobby stairs breakfast great selection fresh tasty plenty of comfort in the room e g bath robe to use slippers etc bathroom although small very nice i would really recommend staying here great value service breakfast location ,1
 staff was really nice and helpful,1
 reception staff were superb the room we were allocated had a great view of the london eye and oxo building quality hotel nothing flashy or cheap all very modern stylish well run and looked after ,1
 up on check out i was inform that they didn t charge anything to my credit card i was asked to pay by cash i paid my bill including room charge by cash over 1674 pounds they have charged 1000 upon arrival to my credit card and another 2660 on checkout i have inform my bank and waiting for the answer i will file this to court this was really disappointing ,0
 the suit is too small its suppose to consider as room the reception poor facilities,0
 easy base for seeing the sites etc ,1
 excellent location for tube restaurants etc,1
 the wifi was very bad room service wasn t good,0
 love location and attention of the personnel also the food is very good,1
 bercy a revelation wonderful lively area with great food ,1
 the customer service wasn t good they was rude they didn t understand our room smelt so we complained and they said they would sort it out straight away but they didn t do it straight away ,0
 staff was great and breakfast was awesome ,1
 my experience may not be representative as i was upgraded on arrival,1
 no air condition outside temperature was 30 deg opening windows was insufficient and noisy room very small,0
 the location is very good in a quiet area five minutes walk to metro stations or bus stops close to hyde park the staff was nice and very helpful we didn t like the first room we get they changed it very quickly the room was very clean the cleaning was perfect it s quite well equipped the bed was very comfortable we could check in quite early we recommend this hotel we would book a room here again ,1
 hotel was closed when i arrived midnight i waited on the door called the hotline and finally sneaked in with some guests coming in carpet in common areas is dirty guy at restaurant didn t know if breakfast was included ,0
 quiet bedroom complete and clean bathroom warm attendance,1
 hotel in general,1
 everything,1
 if you lose something in the hotel it s never will come back to you the hotel is not good at all for families the location was good just that overall i will never come back to it ,0
 really nice hotel in city centre nice staff really helpful and if you need anything they will do it ,1
 reception staff very good and lovely room,1
 great breakfast all the usual items just higher quality plus cava and nice touches like austrian apple strudel ,1
 helpful staff comfortable rooms,1
 they made me a dairy free omelette to order i also had the bacon that was beautifully crispy a rare option in many hotels,1
 good service andlocation ,1
 the room was dirty and the sink full of hair the room had clearly been decorated recently as there were paint spots on everything not impressed with the bed either very uncomfortable,0
 staff happy to help very friendly ,1
 nothing really quite satisfied ,0
 best location ever ,1
 lovely spacious room with comfortable bed the provision of bottles of water and fruit was a nice touch would happily stay here again,1
 a lovely hotel excellent location for the 02 staff friendly food great out whole experience was worth every penny,1
 the worst hotel i ve stayed in recent years we booked three rooms and paid by credit card five months ago when we arrived the receptionist only can find two room records but cannot find the 3rd one they asked me to call booking and said it should be booking s fault when i used the phone in the reception i requested to check the room in their reservation system again they found that the room we booked had been checked in by others wrong guest stayed in our room used our booking records though they found the mistake they didn t apologize to us and let us wait for a long time to get another room so rude staffs it s really bad experience in london ,0
 room quality comfortable bed,1
 poor hygiene in bathroom other guests belongings still in room someone s phone sim card room obviously not cleaned properly cigarette smoke smell in room fingerprints and dust everywhere private function going on in hotel we were on 4th floor and told we would not hear anything but could still hear noise through early hours really unsatisfied considering this was a treat for christmas will not be staying with this chain again ,0
 one of the worst hotels i ve been to ever in fact it is the worst hotel i ve been to i lost the tag of my luggage and the concierge guy started shouting at me and refused to let me see which bag is mine even though i explained to him the shape of my bag and its color when i tried to explain to him that i lost the luggage tag he started mumbling and making fun of me he was the most disrespectful person i have ever seen the cab was waiting outside and i needed to leave to the airport and he still refused to find a solution and was acting as cold as he could be and keep on telling me that it is my fault not his well we are not discussing who s fault it is i just need the bag moreover the room was dirty and the bed sheet as well definitely not recommended going to london next week again and definitely will stay in a different hotel ,0
 plug sockets in room damaged previous guests toe nail clippings on floor booked family suite but got given large double with no explanation property advertises the need for lift from ground floor just past the bins for the nando s underneath to the reception but the hotel layout means there are additional steps between that lift and any rooms staff were curt but professional but unwelcoming requested baby cot was given baby cot one of the rooms overlooks what seems to be a storage area and the extractor fan for the restaurant below if booking is try to avoid it all told it was not a nice experience and if i were to book again i d go with an accor or hilton property even at least they guarantee cleanliness ,0
 bad breakfast bad rooms i took their most expensive room carpet stains what the ,0
 it was perfect for us to be able to attend the andrea bocelli concert in the 02 arena as its right next door with easy access to the 02 through a connecting walkway ,1
 service was a mess no a c and the room that they gave for us 3 people couldn t fit well even 2 ,0
 reception staff very friendly and efficient breakfast very good ,1
 staff were pleasant and friendly comfortable rooms very clean throughout on arrival we were told that there was an issue with the building and that we were being moved to a partner building which was fine the staff helped with our bags and escorted us to our new room the only thing i would say of the location is that it isn t very obvious that it s actually a hotel and there aren t any signs until you come up to the door ,1
